Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-01 00:00:00;;150000.0;;-3.61;;;;
2022-01-01 01:00:00;;150000.0;;-1.46;;;;
2022-01-01 02:00:00;;150000.0;;-1.52;;;;
2022-01-01 03:00:00;;150000.0;;-5.0;;;;
2022-01-01 04:00:00;;150000.0;;-4.6;;;;
2022-01-01 05:00:00;;150000.0;;-4.05;;;;
2022-01-01 06:00:00;;150000.0;;-3.6;;;;
2022-01-01 07:00:00;;150000.0;;0.0;;;;
2022-01-01 08:00:00;;150000.0;;0.0;;;;
2022-01-01 09:00:00;;150000.0;;0.0;;;;
2022-01-01 10:00:00;;150000.0;;0.99;;;;
2022-01-01 11:00:00;;150000.0;;0.58;;;;
2022-01-01 12:00:00;;150000.0;;0.04;;;;
2022-01-01 13:00:00;;150000.0;;0.0;;;;
2022-01-01 14:00:00;;150000.0;;0.85;;;;
2022-01-01 15:00:00;;150000.0;;23.53;;;;
2022-01-01 16:00:00;;150000.0;;36.54;;;;
2022-01-01 17:00:00;;150000.0;;46.03;;;;
2022-01-01 18:00:00;;150000.0;;99.9;;;;
2022-01-01 19:00:00;;150000.0;;54.95;;;;
2022-01-01 20:00:00;;150000.0;;62.0;;;;
2022-01-01 21:00:00;;150000.0;;52.93;;;;
2022-01-01 22:00:00;;150000.0;;45.96;;;;
2022-01-01 23:00:00;;150000.0;;35.0;;;;
2022-01-02 00:00:00;;150000.0;;109.9;;;;
