;import_terminal;hydrogen_hub;cluster;industry_1;industry_2;industry_3
import_terminal;0;0;0;0;0;0
hydrogen_hub;40;0;0;0;0;0
cluster;0;60;0;0;0;0
industry_1;0;0;25;0;0;0
industry_2;0;0;30;0;0;0
industry_3;0;0;0;0;0;0
